family,promotion_bin,fold3_row_count,prior_row_count,fold3_rmsle,prior_rmsle,rmsle_delta,msle_delta,positive_msle_delta_contribution,fold3_error_share,fold3_row_share,prior_row_share,new_in_target_fold,fold3_actual_zero_rate,fold3_mean_actual_sales,fold3_mean_predicted_sales,fold3_mean_signed_error,fold3_mean_onpromotion
PRODUCE,0,4,18,0.291445435006677,0.18931951518026277,0.10212591982641425,0.04909856275814145,6.888126088403683e-06,6.659796777747783e-05,0.00014029180695847364,0.0003156565656565657,False,0.0,3741.9235,3217.9584684708834,-523.9650315291167,0.0
DAIRY,6-10,135,119,0.14698008059033452,0.14532498745048297,0.0016550931398515434,0.00048379211285819526,2.2906823525482733e-06,0.0005716592063381923,0.004734848484848485,0.002086840628507295,False,0.0,555.5481481481481,591.9025843540688,36.35443620592071,8.103703703703705
DELI,1,5,97,0.2034949750715339,0.17327592337545286,0.03021905169608105,0.011385659257748391,1.996643388353744e-06,4.058484154769358e-05,0.00017536475869809202,0.0017010381593714928,False,0.0,83.5826,81.52301618739895,-2.0595838126010433,1.0
HARDWARE,0,864,1724,0.5302301843483626,0.5302280762406546,2.108107707954332e-06,2.2355602330437208e-06,6.774424948617336e-08,0.047613390465632156,0.030303030303030304,0.030232884399551067,False,0.375,1.4490740740740742,1.1661603244082548,-0.28291374966581934,0.0
HOME AND KITCHEN II,1,286,616,0.4362532576100891,0.43629416344044314,-4.090583035404327e-05,-3.569227678135167e-05,0.0,0.010669151209198353,0.010030864197530864,0.010802469135802469,False,0.0,28.314685314685313,27.395309116808207,-0.9193761978771066,1.0
PET SUPPLIES,0,864,1675,0.47433702749330664,0.47466041040216883,-0.0003233829088621909,-0.00030688955196941925,0.0,0.03810432467714328,0.030303030303030304,0.029373597081930415,False,0.11689814814814815,8.429398148148149,8.12841747129871,-0.3009806768494386,0.0
BREAD/BAKERY,1,13,15,0.0991834900586459,0.10072553356388181,-0.0015420435052359016,-0.0003082684115151696,0.0,2.5067359864485666e-05,0.00045594837261503927,0.00026304713804713804,False,0.0,340.8734615384615,365.9400704174062,25.06660887894469,1.0
DAIRY,2-5,111,99,0.14262663876679935,0.14663874931142243,-0.004012110544623082,-0.0011605647137031203,0.0,0.0004425993225831826,0.003893097643097643,0.001736111111111111,False,0.0,730.1081081081081,756.3279629038034,26.219854795695326,3.6036036036036037
SCHOOL AND OFFICE SUPPLIES,0,615,1684,0.47726797975629365,0.48160128074039366,-0.004333300984100008,-0.004155069110133552,0.0,0.02745909271075501,0.02156986531986532,0.0295314253647587,False,0.6796747967479675,0.9853658536585366,0.7930139756087765,-0.19235187804976,0.0
FROZEN FOODS,11-50,43,121,0.2965892006436059,0.30139523403109475,-0.004806033387488862,-0.0028739331582452593,0.0,0.0007414222137876206,0.0015081369248035915,0.0021219135802469135,False,0.0,126.14444195348837,119.2449950177094,-6.899446935778973,16.0
BOOKS,0,864,1728,0.2125486100791121,0.21799663095787986,-0.005448020878767751,-0.0023456194624236273,0.0,0.007650974461475721,0.030303030303030304,0.030303030303030304,False,0.9907407407407407,0.010416666666666666,0.22151284289323436,0.2110961762265677,0.0
CELEBRATION,0,859,1707,0.5605745195473739,0.5662153153361247,-0.005640795788750763,-0.006355991355418034,0.0,0.05291104533816665,0.030127665544332213,0.02993476430976431,False,0.015133876600698487,12.467986030267753,11.649915955090966,-0.8180700751767855,0.0
BABY CARE,0,863,1727,0.31292626499542336,0.31893589056394944,-0.006009625568526078,-0.0037972549658336074,0.0,0.016564613231477607,0.030267957351290686,0.030285493827160493,False,0.8771726535341831,0.18192352259559674,0.29100636327134477,0.109082840675748,0.0
PRODUCE,11-50,94,785,0.13048003984646003,0.13991360748310022,-0.009433567636640189,-0.0025507767606012394,0.0,0.0003136913087230126,0.0032968574635241304,0.013766133557800224,False,0.0,3609.2055670212767,3957.901599341418,348.6960323201414,14.27659574468085
SEAFOOD,2-5,51,134,0.4029483476828801,0.4132331796604451,-0.010284831977564968,-0.008394289871918426,0.0,0.001623137852251112,0.0017887205387205388,0.0023498877665544334,False,0.0,17.132843294117645,16.116694137135045,-1.0161491569826007,3.176470588235294
LINGERIE,2-5,117,5,0.5120597094900006,0.5224376433362019,-0.010377933846201337,-0.010735945091700727,0.0,0.0060133093159955514,0.004103535353535354,8.768237934904601e-05,False,0.0,13.418803418803419,11.637833390948504,-1.7809700278549143,2.786324786324786
PLAYERS AND ELECTRONICS,0,853,1657,0.46658899889993233,0.4800267132368303,-0.013437714336897999,-0.012720351526513102,0.0,0.03640026053870649,0.0299172278338945,0.02905794051627385,False,0.03048065650644783,11.539273153575616,10.661996301259435,-0.8772768523161791,0.0
