store_nbr,city,state,store_type,cluster,promotion_bin,fold3_row_count,prior_row_count,fold3_rmsle,prior_rmsle,rmsle_delta,msle_delta,positive_msle_delta_contribution,fold3_error_share,fold3_row_share,prior_row_share,new_in_target_fold,fold3_actual_zero_rate,fold3_mean_actual_sales,fold3_mean_predicted_sales,fold3_mean_signed_error,fold3_mean_onpromotion
17,Quito,Pichincha,C,12,6-10,57,57,0.29737914786012143,0.14456194138055878,0.15281720647956265,0.06753620268629586,0.00013501555671713186,0.0009880578027408626,0.001999158249158249,0.0009995791245791246,False,0.0,333.05263157894734,356.0308768993733,22.978245320425902,7.43859649122807
4,Quito,Pichincha,D,9,0,314,619,0.40076402725663796,0.38526120802987707,0.015502819226760889,0.01218560713031902,0.00013419895619108348,0.009885384895142384,0.01101290684624018,0.010855078563411896,False,0.20063694267515925,52.33125808917197,50.55960643162983,-1.7716516575421406,0.0
9,Quito,Pichincha,B,6,11-50,61,181,0.28098464356275477,0.13222199808133103,0.14876264548142373,0.061469713141468846,0.00013151138122999436,0.0009440206121596557,0.0021394500561167226,0.0031741021324354656,False,0.0,1750.0696396721312,1631.1156487259768,-118.95399094615422,21.360655737704917
7,Quito,Pichincha,D,8,1,38,84,0.4362343162327029,0.3111387943166142,0.12509552191608875,0.09349302933021748,0.00012460490721619895,0.0014174564361610004,0.0013327721661054994,0.001473063973063973,False,0.0,83.61763157894737,99.13249088171085,15.514859302763481,1.0
6,Quito,Pichincha,D,13,1,44,91,0.4445281067642377,0.34490962406302506,0.09961848270121265,0.07864258893210023,0.0001213620199569448,0.001704266861370009,0.0015432098765432098,0.0015958193041526374,False,0.0,64.17118181818182,63.72337257223146,-0.44780924595035515,1.0
41,Machala,El Oro,D,4,11-50,67,148,0.33528079800098604,0.24796304316193998,0.08731775483904605,0.050927542734047905,0.00011967400965141729,0.0014763136554525322,0.0023498877665544334,0.002595398428731762,False,0.0,1564.9817462686567,1811.8269625361236,246.8452162674668,21.074626865671643
35,Playas,Guayas,C,3,2-5,73,110,0.495189457184717,0.451036516828626,0.04415294035609102,0.041778658993995244,0.00010696696501689298,0.0035087474568026933,0.0025603254769921437,0.0019290123456790122,False,0.0,146.57182191780822,131.23054991777806,-15.341272000030164,3.3013698630136985
12,Latacunga,Cotopaxi,C,15,11-50,58,185,0.32236932660228873,0.22806418117289265,0.09430514542939608,0.051908711999951104,0.00010559432154872208,0.0011814677974301099,0.0020342312008978674,0.0032442480359147026,False,0.0,1153.0537931034482,1310.6586308935894,157.6048377901411,22.879310344827587
40,Machala,El Oro,C,3,0,300,607,0.4852096702213904,0.47484788069258943,0.010361789528800958,0.009947914278106734,0.00010467081521576951,0.013844160367904835,0.010521885521885523,0.010644640852974186,False,0.33,17.422903333333334,17.07339557243397,-0.34950776089936364,0.0
25,Salinas,Santa Elena,D,1,11-50,57,141,0.310603995639414,0.21238859721469983,0.09821539842471416,0.05136592588034111,0.00010268861444933513,0.0010778923838936816,0.001999158249158249,0.0024726430976430977,False,0.0,1343.124667017544,1129.6516174959954,-213.47304952154855,22.842105263157894
14,Riobamba,Chimborazo,C,7,11-50,51,165,0.36857224737471206,0.28129640236997183,0.08727584500474023,0.05671783554855682,0.00010145235735747748,0.0013580066880220184,0.0017887205387205388,0.0028935185185185184,False,0.0,1367.4237647843136,1396.7564824680612,29.332717683747482,23.11764705882353
2,Quito,Pichincha,D,13,2-5,35,91,0.3652154041450141,0.2262267778486893,0.13898862629632477,0.08220373640900575,0.00010090946879612798,0.0009150665699336201,0.0012275533108866443,0.0015958193041526374,False,0.0,132.9804000285714,144.08102060596846,11.100620577397022,3.4
17,Quito,Pichincha,C,12,2-5,42,94,0.38287728356304923,0.2802915658024194,0.10258571776062986,0.0680316524086476,0.00010021497619118964,0.0012068546321393444,0.001473063973063973,0.0016484287317620652,False,0.0,475.8266190476191,512.2464028137576,36.41978376613859,2.738095238095238
38,Loja,Loja,D,4,11-50,67,153,0.32061440189639734,0.2477995804105263,0.07281482148587104,0.041388962651751716,9.72594170057297e-05,0.0013499799784890913,0.0023498877665544334,0.002683080808080808,False,0.0,1430.0709253731345,1571.9703467988413,141.89942142570703,21.52238805970149
17,Quito,Pichincha,C,12,0,293,624,0.48275828369282225,0.47297504250246775,0.009783241190354508,0.009350169643828316,9.608584826184401e-05,0.01338485160946327,0.010276374859708193,0.010942760942760943,False,0.2935153583617747,36.47758020477816,36.700204222954625,0.2226240181764687,0.0
50,Ambato,Tungurahua,A,14,1,32,124,0.5201025639684558,0.43099514539163125,0.08910741857682453,0.08474986169540827,9.511768989383644e-05,0.0016967366427687387,0.001122334455667789,0.0021745230078563413,False,0.0,93.546625125,105.42249550729692,11.875870382296915,1.0
42,Cuenca,Azuay,D,2,11-50,58,159,0.26057350695764436,0.14582538001186018,0.11474812694578418,0.04663351107260212,9.486334323130342e-05,0.0007719247765846953,0.0020342312008978674,0.002788299663299663,False,0.0,1433.1725000000001,1656.6571464252975,223.4846464252976,22.43103448275862
5,Santo Domingo,Santo Domingo de los Tsachilas,D,4,2-5,55,109,0.3486751259632977,0.2711041888592997,0.07757093710399798,0.04807686224846265,9.27408608187937e-05,0.0013106631633930967,0.0019290123456790122,0.0019114758698092031,False,0.0,214.3555072727273,249.79975148637718,35.444244213649895,3.1454545454545455
40,Machala,El Oro,C,3,2-5,28,88,0.5149502910349835,0.413699083523134,0.10125120751184946,0.09402687052913314,9.233839698427778e-05,0.001455375696772012,0.0009820426487093155,0.0015432098765432098,False,0.0,293.09164285714286,314.57436917792273,21.482726320779893,3.25
25,Salinas,Santa Elena,D,1,1,38,70,0.44838736646145866,0.36836810604629916,0.0800192604151595,0.0653561688501049,8.710488272671107e-05,0.0014975343850596597,0.0013327721661054994,0.0012275533108866443,False,0.0,127.67068426315788,82.0473374151353,-45.623346848022585,1.0
33,Quevedo,Los Rios,C,3,11-50,63,162,0.3074372736770211,0.23488687818051135,0.07255039549650977,0.039345831704573196,8.693839076136755e-05,0.0011671859766763807,0.0022095959595959595,0.002840909090909091,False,0.0,1392.0893492063492,1355.033917576573,-37.05543162977603,23.603174603174605
