family,store_nbr,city,state,store_type,cluster,fold3_row_count,prior_row_count,fold3_rmsle,prior_rmsle,rmsle_delta,msle_delta,positive_msle_delta_contribution,fold3_error_share,fold3_row_share,prior_row_share,new_in_target_fold,fold3_actual_zero_rate,fold3_mean_actual_sales,fold3_mean_predicted_sales,fold3_mean_signed_error,fold3_mean_onpromotion
GROCERY I,37,Cuenca,Azuay,D,2,16,32,0.23999689627290688,0.1122647631178387,0.12773213315506818,0.04499513318272399,2.52497941541661e-05,0.00018064157219196484,0.0005611672278338945,0.0005611672278338945,False,0.0,3404.3125,3956.540728769827,552.2282287698274,39.1875
BABY CARE,17,Quito,Pichincha,C,12,16,32,0.4761461594411848,0.42643313586698167,0.04971302357420315,0.044869945785242504,2.5179543089361674e-05,0.0007110285268783944,0.0005611672278338945,0.0005611672278338945,False,0.5,0.75,0.49588136736769756,-0.25411863263230244,0.0
HOME AND KITCHEN II,47,Quito,Pichincha,A,14,16,32,0.34631524897085236,0.2743464142456645,0.07196883472518784,0.044668296660289694,2.5066384208916774e-05,0.00037614014144293035,0.0005611672278338945,0.0005611672278338945,False,0.0,78.6875,90.27394576062372,11.586445760623718,1.9375
HOME AND KITCHEN II,27,Daule,Guayas,D,1,16,32,0.43767234548573086,0.3833194905675783,0.05435285491815256,0.04462325015399318,2.504110558585476e-05,0.0006007650601548159,0.0005611672278338945,0.0005611672278338945,False,0.0,29.75,27.86521124346213,-1.8847887565378694,1.625
PRODUCE,37,Cuenca,Azuay,D,2,16,32,0.2266016543833431,0.0833788083896509,0.1432228459936922,0.04439628408078996,2.491373966374296e-05,0.0001610395715200047,0.0005611672278338945,0.0005611672278338945,False,0.0,2393.286375,2793.3459741930515,400.05959919305144,34.5
POULTRY,18,Quito,Pichincha,B,16,16,32,0.23481949634670837,0.10404148561791961,0.13077801072878875,0.04431556513493802,2.4868442836665554e-05,0.00017293175871713404,0.0005611672278338945,0.0005611672278338945,False,0.0,183.5115,212.11170715386174,28.600207153861746,3.125
MAGAZINES,8,Quito,Pichincha,D,8,16,32,0.4310785084324925,0.37632331558569665,0.054755192846795864,0.04420944257897069,2.4808890336122723e-05,0.0005827995353192583,0.0005611672278338945,0.0005611672278338945,False,0.0,20.125,17.759526710373468,-2.365473289626533,0.0
MEATS,35,Playas,Guayas,C,3,16,32,0.28626708443411214,0.19436414646018801,0.09190293797392413,0.04417142220120968,2.478755454613338e-05,0.0002570095631988849,0.0005611672278338945,0.0005611672278338945,False,0.0,201.477250625,208.97314612880695,7.4958955038069375,2.4375
POULTRY,28,Guayaquil,Guayas,E,10,16,32,0.26544013563609986,0.1629875386443035,0.10245259699179637,0.043893527853182776,2.463160934522041e-05,0.00022097321532519982,0.0005611672278338945,0.0005611672278338945,False,0.0,229.5270625,248.04505458926425,18.517992089264254,2.9375
HOME AND KITCHEN I,9,Quito,Pichincha,B,6,16,32,0.4085475129141997,0.35075896590747935,0.05778854700672037,0.04387921814389395,2.4623579205327693e-05,0.0005234697571387995,0.0005611672278338945,0.0005611672278338945,False,0.0,54.375,38.2227042837939,-16.152295716206094,1.1875
