family,store_nbr,city,state,store_type,cluster,promotion_bin,fold3_row_count,prior_row_count,fold3_rmsle,prior_rmsle,rmsle_delta,msle_delta,positive_msle_delta_contribution,fold3_error_share,fold3_row_share,prior_row_share,new_in_target_fold,fold3_actual_zero_rate,fold3_mean_actual_sales,fold3_mean_predicted_sales,fold3_mean_signed_error,fold3_mean_onpromotion
HOME AND KITCHEN I,39,Cuenca,Azuay,B,6,0,9,0,0.5580298631379378,,,,0.0,0.0005493433385553464,0.0003156565656565657,0.0,True,0.0,26.88888888888889,19.66434070155797,-7.224548187330921,0.0
BEAUTY,5,Santo Domingo,Santo Domingo de los Tsachilas,D,4,2-5,9,0,0.540728806130188,,,,0.0,0.0005158079044528139,0.0003156565656565657,0.0,True,0.0,10.444444444444445,6.037633153499112,-4.406811290945333,2.0
LADIESWEAR,48,Quito,Pichincha,A,14,2-5,7,0,0.5995371948794277,,,,0.0,0.0004931928529137051,0.00024551066217732886,0.0,True,0.0,14.714285714285714,24.640313249959032,9.926027535673317,4.0
LINGERIE,44,Quito,Pichincha,A,5,2-5,6,0,0.6465480949177759,,,,0.0,0.0004916311523982677,0.00021043771043771043,0.0,True,0.0,30.5,16.759697805075216,-13.740302194924782,4.0
LADIESWEAR,44,Quito,Pichincha,A,5,2-5,5,0,0.702959200349328,,,,0.0,0.0004843025037195867,0.00017536475869809202,0.0,True,0.0,18.6,35.759027518984304,17.159027518984303,4.2
SCHOOL AND OFFICE SUPPLIES,11,Cayambe,Pichincha,B,6,6-10,9,0,0.5094240363720162,,,,0.0,0.00045781271028070165,0.0003156565656565657,0.0,True,0.0,27.666666666666668,19.29377578456072,-8.372890882105947,6.777777777777778
LINGERIE,46,Quito,Pichincha,A,14,2-5,12,0,0.431852338362334,,,,0.0,0.00043867033698825506,0.00042087542087542086,0.0,True,0.0,10.833333333333334,10.66496705760611,-0.16836627572722232,2.8333333333333335
HOME CARE,50,Ambato,Tungurahua,A,14,2-5,8,0,0.5228188619977308,,,,0.0,0.00042862643596173415,0.0002805836139169473,0.0,True,0.0,338.75,571.4467237519393,232.69672375193932,4.625
LINGERIE,8,Quito,Pichincha,D,8,1,5,0,0.6538662857572396,,,,0.0,0.0004190196268447892,0.00017536475869809202,0.0,True,0.0,20.8,22.640371339956456,1.8403713399564565,1.0
CLEANING,26,Guayaquil,Guayas,D,10,2-5,11,0,0.43382846041992484,,,,0.0,0.0004058029833787282,0.00038580246913580245,0.0,True,0.0,284.1818181818182,403.2324782406647,119.05066005884655,3.8181818181818183
LADIESWEAR,45,Quito,Pichincha,A,11,6-10,6,0,0.5866206989043923,,,,0.0,0.000404717969527268,0.00021043771043771043,0.0,True,0.0,28.166666666666668,46.16048518723793,17.993818520571267,7.833333333333333
SCHOOL AND OFFICE SUPPLIES,12,Latacunga,Cotopaxi,C,15,2-5,8,0,0.5046859049160981,,,,0.0,0.00039940988557921574,0.0002805836139169473,0.0,True,0.0,9.75,8.384419057106179,-1.3655809428938204,3.625
SCHOOL AND OFFICE SUPPLIES,19,Guaranda,Bolivar,C,15,2-5,6,0,0.5770262103420047,,,,0.0,0.0003915874844226464,0.00021043771043771043,0.0,True,0.0,8.333333333333334,6.993881857400763,-1.3394514759325695,3.0
LINGERIE,42,Cuenca,Azuay,D,2,2-5,4,0,0.6869304205313195,,,,0.0,0.0003699746443267439,0.00014029180695847364,0.0,True,0.0,5.25,8.440148583492288,3.190148583492288,2.25
LINGERIE,18,Quito,Pichincha,B,16,2-5,8,0,0.48394700188466616,,,,0.0,0.00036725867713476056,0.0002805836139169473,0.0,True,0.0,9.5,6.9457227498619165,-2.554277250138084,2.875
BEAUTY,41,Machala,El Oro,D,4,2-5,10,0,0.4264943119919245,,,,0.0,0.0003565438569467002,0.00035072951739618404,0.0,True,0.0,10.7,7.585804343498627,-3.1141956565013724,2.0
LINGERIE,3,Quito,Pichincha,D,8,1,6,0,0.5423453670544242,,,,0.0,0.0003459310863680329,0.00021043771043771043,0.0,True,0.0,27.166666666666668,20.397807395157667,-6.768859271509002,1.0
LADIESWEAR,46,Quito,Pichincha,A,14,2-5,7,0,0.4968195854552236,,,,0.0,0.00033867405481513606,0.00024551066217732886,0.0,True,0.0,19.714285714285715,29.314711859960937,9.600426145675224,4.0
BEAUTY,49,Quito,Pichincha,A,11,2-5,9,0,0.4381160116757074,,,,0.0,0.00033861581007057796,0.0003156565656565657,0.0,True,0.0,16.555555555555557,12.241221962040688,-4.314333593514869,2.0
LINGERIE,12,Latacunga,Cotopaxi,C,15,2-5,11,0,0.3933660843233013,,,,0.0,0.0003336360583958191,0.00038580246913580245,0.0,True,0.0,7.090909090909091,8.692158780769027,1.601249689859935,2.8181818181818183
BEAUTY,7,Quito,Pichincha,D,8,2-5,7,0,0.48716705282923456,,,,0.0,0.00032564193720867167,0.00024551066217732886,0.0,True,0.0,7.142857142857143,5.787865271689237,-1.3549918711679045,2.0
BEVERAGES,42,Cuenca,Azuay,D,2,6-10,11,0,0.3879866171804281,,,,0.0,0.0003245731929195784,0.00038580246913580245,0.0,True,0.0,2214.3636363636365,3144.9686490905315,930.6050127268956,7.454545454545454
