family,store_nbr,city,state,store_type,cluster,promotion_bin,fold3_row_count,prior_row_count,fold3_rmsle,prior_rmsle,rmsle_delta,msle_delta,positive_msle_delta_contribution,fold3_error_share,fold3_row_share,prior_row_share,new_in_target_fold,fold3_actual_zero_rate,fold3_mean_actual_sales,fold3_mean_predicted_sales,fold3_mean_signed_error,fold3_mean_onpromotion
PERSONAL CARE,37,Cuenca,Azuay,D,2,6-10,11,23,0.26818059430639973,0.2523076193207807,0.015872974985619015,0.008261696395213763,3.1873828685238283e-06,0.00015507216637707872,0.00038580246913580245,0.0004033389450056117,False,0.0,261.54545454545456,293.81366204253516,32.26820749708061,9.0
PRODUCE,50,Ambato,Tungurahua,A,14,11-50,4,11,0.1740038466995013,0.08718872217403881,0.0868151245254625,0.022675465391881824,3.1811820134514343e-06,2.373909514979256e-05,0.00014029180695847364,0.00019290123456790122,False,0.0,2035.2565,2413.7383942835995,378.4818942835995,12.75
POULTRY,47,Quito,Pichincha,A,14,0,11,20,0.14766686146372032,0.11672377386835865,0.03094308759536167,0.00818106258847384,3.156274146787747e-06,4.701595317343828e-05,0.00038580246913580245,0.00035072951739618404,False,0.0,1158.519,1231.2074770241431,72.68847702414324,0.0
HOME CARE,24,Guayaquil,Guayas,D,1,6-10,8,13,0.1992154340332851,0.16889647425497067,0.03031895977831442,0.011160770141310193,3.131529220345172e-06,6.223324145992088e-05,0.0002805836139169473,0.00022797418630751963,False,0.0,244.875,289.6812966332281,44.806296633228115,7.0
BOOKS,15,Ibarra,Imbabura,C,15,0,16,32,0.20673411395585226,0.1927855782154989,0.013948535740353346,0.005572714705227064,3.12722486264145e-06,0.00013403886693542585,0.0005611672278338945,0.0005611672278338945,False,1.0,0.0,0.22329995772727634,0.22329995772727634,0.0
LAWN AND GARDEN,22,Puyo,Pastaza,C,7,0,16,32,0.18492646001636992,0.16926151083117508,0.015664949185194843,0.005548336565334065,3.113544649457949e-06,0.00010725179421452494,0.0005611672278338945,0.0005611672278338945,False,1.0,0.0,0.19608979017160225,0.19608979017160225,0.0
BABY CARE,12,Latacunga,Cotopaxi,C,15,0,16,32,0.2012346246884418,0.18706264520556798,0.014171979482873825,0.005502940942193828,3.0880701134645497e-06,0.0001270023830335583,0.0005611672278338945,0.0005611672278338945,False,1.0,0.0,0.2156366541735514,0.2156366541735514,0.0
PERSONAL CARE,10,Quito,Pichincha,C,15,6-10,15,18,0.17142819923054786,0.15335634136953272,0.018071857861015145,0.005869460053179759,3.0878893377418766e-06,8.640567285359766e-05,0.0005260942760942761,0.0003156565656565657,False,0.0,195.46666666666667,183.99818856438452,-11.468478102282173,8.0
"LIQUOR,WINE,BEER",33,Quevedo,Los Rios,C,3,2-5,7,13,0.6470078294514531,0.6372567044387147,0.009751125012738338,0.012523024019389206,3.074535919462838e-06,0.0005743856527890648,0.00024551066217732886,0.00022797418630751963,False,0.0,40.0,31.342239131030684,-8.657760868969316,2.2857142857142856
BOOKS,30,Guayaquil,Guayas,C,3,0,16,32,0.191711346272257,0.17698035074679172,0.014730995525465279,0.00543119573906381,3.047809056713698e-06,0.00011526622969269817,0.0005611672278338945,0.0005611672278338945,False,1.0,0.0,0.204324373066464,0.204324373066464,0.0
DAIRY,43,Esmeraldas,Esmeraldas,E,10,11-50,11,24,0.15841934267587365,0.1314405663893037,0.026978776286569944,0.00782006564111493,3.017000633146192e-06,5.411224724324847e-05,0.00038580246913580245,0.00042087542087542086,False,0.0,763.3636363636364,704.6894834192292,-58.67415294440718,17.454545454545453
BOOKS,40,Machala,El Oro,C,3,0,16,32,0.20472286223786265,0.1911459816488268,0.013576880589035861,0.0053746640223692604,3.0160853099715267e-06,0.00013144350869783282,0.0005611672278338945,0.0005611672278338945,False,1.0,0.0,0.22062096310749887,0.22062096310749887,0.0
LADIESWEAR,36,Libertad,Guayas,E,10,0,16,32,0.19394612974596606,0.17957678978350844,0.014369339962457622,0.005367277814488716,3.011940412170997e-06,0.00011796921484162367,0.0005611672278338945,0.0005611672278338945,False,1.0,0.0,0.2056749839709686,0.2056749839709686,0.0
LAWN AND GARDEN,10,Quito,Pichincha,C,15,0,16,32,0.17440061333857093,0.15860934738797938,0.01579126595059155,0.005258648854028998,2.950981399567339e-06,9.538991674105464e-05,0.0005611672278338945,0.0005611672278338945,False,1.0,0.0,0.17946141660592718,0.17946141660592718,0.0
LADIESWEAR,40,Machala,El Oro,C,3,0,16,32,0.1984047468354543,0.18474902660844392,0.013655720227010393,0.005232240734073197,2.9361620280994373e-06,0.00012345553638693402,0.0005611672278338945,0.0005611672278338945,False,1.0,0.0,0.2124037389688777,0.2124037389688777,0.0
DAIRY,4,Quito,Pichincha,D,9,11-50,12,28,0.166158520351787,0.1436519060004806,0.02250661435130638,0.0069727837879242985,2.9346733114159507e-06,6.494009946884233e-05,0.00042087542087542086,0.0004910213243546577,False,0.0,713.4166666666666,832.2779944715157,118.86132780484904,22.5
BOOKS,10,Quito,Pichincha,C,15,0,16,32,0.1913141542691042,0.17718385666656336,0.014130297602540837,0.005206986560465331,2.921990213504675e-06,0.00011478910198378508,0.0005611672278338945,0.0005611672278338945,False,1.0,0.0,0.2027400668482519,0.2027400668482519,0.0
LADIESWEAR,25,Salinas,Santa Elena,D,1,0,16,32,0.17448740031931373,0.15891216644873782,0.01557523387057591,0.005192776224761095,2.9140158388109396e-06,9.548487813539153e-05,0.0005611672278338945,0.0005611672278338945,False,1.0,0.0,0.17266216511718832,0.17266216511718832,0.0
PERSONAL CARE,8,Quito,Pichincha,D,8,6-10,9,19,0.14730881861309011,0.11177301027079142,0.03553580834229869,0.009206682216189838,2.906149689453863e-06,3.828128203121843e-05,0.0003156565656565657,0.00033319304152637486,False,0.0,336.0,330.9258394207586,-5.074160579241363,9.11111111111111
FROZEN FOODS,4,Quito,Pichincha,D,9,1,13,20,0.21853859412954882,0.20343671870877428,0.015101875420774541,0.006372618605126716,2.905585082303848e-06,0.00012169874882593744,0.00045594837261503927,0.00035072951739618404,False,0.0,90.01676923076924,102.09044871507088,12.073679484301648,1.0
BOOKS,29,Guayaquil,Guayas,E,10,0,16,32,0.20200522913574653,0.18879012008663446,0.013215109049112078,0.005164403155859608,2.898093802390352e-06,0.00012797692694729808,0.0005611672278338945,0.0005611672278338945,False,1.0,0.0,0.21507131509829616,0.21507131509829616,0.0
EGGS,9,Quito,Pichincha,B,6,1,13,11,0.2927413318311564,0.2817017347824472,0.011039597048709215,0.006341619982839011,2.8914513109184606e-06,0.00021837248294208722,0.00045594837261503927,0.00019290123456790122,False,0.0,192.07692307692307,201.47483595615137,9.39791287922832,1.0
HOME CARE,12,Latacunga,Cotopaxi,C,15,6-10,12,9,0.15897766088376789,0.13570496180344968,0.023272699080318204,0.006858060001998567,2.8863888897300368e-06,5.944836607672324e-05,0.00042087542087542086,0.00015782828282828284,False,0.0,184.25,210.17492521993697,25.924925219936938,7.083333333333333
BREAD/BAKERY,36,Libertad,Guayas,E,10,6-10,6,7,0.1877930263633001,0.1469553103866746,0.0408377159766255,0.013670357499843258,2.876758733131999e-06,4.147597874453005e-05,0.00021043771043771043,0.00012275533108866443,False,0.0,489.3333333333333,431.8050051195999,-57.528328213733396,9.333333333333334
BEVERAGES,2,Quito,Pichincha,D,13,11-50,6,28,0.15072846409173798,0.09571650500694515,0.05501195908479284,0.013557420556709797,2.8529925413951595e-06,2.671949643850595e-05,0.00021043771043771043,0.0004910213243546577,False,0.0,3102.8333333333335,3376.0197987543743,273.1864654210411,19.833333333333332
BREAD/BAKERY,13,Latacunga,Cotopaxi,C,15,6-10,5,18,0.3086696567960881,0.2812506729928963,0.0274189838031918,0.01617501596765772,2.8365277721060814e-06,9.33779539448379e-05,0.00017536475869809202,0.0003156565656565657,False,0.0,113.6,136.45566660700945,22.85566660700945,6.6
DELI,31,Babahoyo,Los Rios,B,10,6-10,10,10,0.15999317067984972,0.13239943049464514,0.02759374018520458,0.008068205468885155,2.8297578103553435e-06,5.017522879396055e-05,0.00035072951739618404,0.00017536475869809202,False,0.0,252.02820000000003,281.31742952621033,29.28922952621034,6.6
BREAD/BAKERY,46,Quito,Pichincha,A,14,6-10,4,11,0.17404154272430006,0.10060775955409931,0.07343378317020074,0.020168537311358897,2.8294805431199352e-06,2.37493818930833e-05,0.00014029180695847364,0.00019290123456790122,False,0.0,802.0,948.5912314685663,146.5912314685663,10.0
LAWN AND GARDEN,14,Riobamba,Chimborazo,C,7,0,16,32,0.2022549777364871,0.1893928013204564,0.012862176416030685,0.0050374428271770105,2.8268478266986593e-06,0.0001282935703992505,0.0005611672278338945,0.0005611672278338945,False,1.0,0.0,0.21689818526778254,0.21689818526778254,0.0
FROZEN FOODS,29,Guayaquil,Guayas,E,10,0,5,19,0.350247054148095,0.3264626255453934,0.02378442860270158,0.016095153061426837,2.8225226328259745e-06,0.00012022795440497049,0.00017536475869809202,0.00033319304152637486,False,0.0,57.535799999999995,58.0590199372199,0.5232199372198977,0.0
